Entity_type,AR/FA_Name,Original_EN_Name,Tranformed_EN_Name,Category_of_Entity,Disambiguating_GEO_entities,GEOID_from_GEONAMES ,LAT,LNG,Granular/other_name,comments,Number_of_Camels,File,File_Name_in_AR/FA,File_Name_in_EN,Category_of_File_Name
Geographic,تومراحي,Tūmrāhi,Tumrahi,Village,Found in geonames w/certainty,112502,26.47298,57.15818,Tombān Rāhī,,3,biyaban.txt,بيابان,Biyaban,District
Geographic,كنار اسماعيل,Kunār Ismā'īl,Kunar Ismail,Unspecified,Found in geonames w/certainty,112504,26.986,57.0232,Tūmaj,,5,minab_district.txt,ميناب / مينار ,MINAB / MINAU ,District
Geographic,توجك,Tūjak,Tujak,Village,Found in geonames w/certainty,112520,26.0415,57.2368,,,4,biyaban.txt,بيابان,Biyaban,District
Geographic,تمبک,Tambak,Tambak,Unspecified,Found in geonames w/certainty,112678,27.08583,57.01583,,,300,minab_district.txt,ميناب / مينار ,MINAB / MINAU ,District
Geographic,تخم ماري,Takhm Māri,Takhm Mari,Unspecified,Found in geonames w/certainty,112730,28.9263,51.1321,,,30,tangistan.txt,تنگستان,TANGISTAN,District
Geographic,تاربان,Tāziyan,Taziyan,Village,Found in geonames w/certainty,112944,27.2918,56.1532,,,10,shamil_district.txt,شميل / شميلات,SHAMIL / SHAMILaT,District
Geographic,تاهروي,Tāhrūi,Tahrui,Village,Found in geonames w/certainty,113577,26.5523,57.102,,,10,biyaban.txt,بيابان,Biyaban,District
Geographic,سوزه,Sūzeh,Suzeh,Village,Found in geonames w/certainty,113684,26.7807,56.063,,,60,qishm_island.txt,قشم,QISHM ISLAND ,Island
Geographic,ساؤل ,Sāul ,Saul ,Village,Found in geonames w/certainty,113806,25.60986,59.28025,Sūl,,20,makran.txt,مكران,Makran ,Coast
Geographic,سروباش,Sarvbāsh ,Sarvbash ,Village,Found in geonames w/certainty,113894,27.2695,52.8367,,,6,gabandi.txt,كابندي,Gabandi,Valley
Geographic,سركوه,Sarkūh,Sarkuh,Village,Found in geonames w/certainty,113910,25.9334,57.4132,Sorkh Kūh,,4,biyaban.txt,بيابان,Biyaban,District
Geographic,سهلي,Suhli,Suhli,Village,Found in geonames w/certainty,114183,26.7531,55.7856,,,30,qishm_island.txt,قشم,QISHM ISLAND ,Island
Geographic,سريك,Sirīk,Sirik,Village,Found in geonames w/certainty,114262,26.5055,57.122,,,10,biyaban.txt,بيابان,Biyaban,District
Geographic,سيكوي,Sīkūi,Sikui,Village,Found in geonames w/certainty,114336,26.2755,57.2322,,,20,biyaban.txt,بيابان,Biyaban,District
Geographic,ليراوي,Lirāvi,Liravi,District,Found in geonames w/certainty,114433,30.0633,50.3251,,,100,liravi.txt,ليراوي,Liravi,District
Geographic,سوركي,Suraki,Suraki,Unspecified,Found in geonames w/certainty,114670,28.8345,51.2006,,,30,tangistan.txt,تنگستان,TANGISTAN,District
